Src	EqId	Version	Datetime	Lat	Lon	Magnitude	Depth	NST	Region
ak	10581002	?	"Wednesday, October 17, 2012 08:24:24 UTC"	65.6081	-148.0961	2.6	0.2	?	"84km N of College	 Alaska"
ak	10580995	?	"Wednesday, October 17, 2012 08:19:43 UTC"	65.4754	-148.0032	2.5	17.3	?	"69km N of College	 Alaska"
ak	10580986	?	"Wednesday, October 17, 2012 08:09:53 UTC"	52.0539	-173.3686	2.5	45.3	?	"59km ESE of Atka	 Alaska"
mb	28549	?	"Wednesday, October 17, 2012 07:23:37 UTC"	45.2753	-112.7638	2.8	0	?	"11km WNW of Dillon	 Montana"
mb	12442812	?	"Wednesday, October 17, 2012 07:23:37 UTC"	45.2726	-112.7911	2.8	12.1	?	"13km WNW of Dillon	 Montana"
ak	10581183	?	"Wednesday, October 17, 2012 07:02:01 UTC"	52.6258	-167.031	2.5	6.5	?	"128km ESE of Nikolski	 Alaska"
ak	10580955	?	"Wednesday, October 17, 2012 07:00:26 UTC"	50.2228	179.0992	2.9	31.5	?	"171km SW of Amatignak Island	 Alaska"
us	b000d7b7	?	"Wednesday, October 17, 2012 05:49:23 UTC"	-4.8845	151.6244	4.8	152.99	?	"92km SW of Kokopo	 Papua New Guinea"
pr	12291004	?	"Wednesday, October 17, 2012 05:48:03 UTC"	19.1844	-64.8391	2.9	24	?	"88km NNW of Road Town	 British Virgin Islands"
us	b000d7a6	?	"Wednesday, October 17, 2012 04:42:40 UTC"	35.6779	-97.1147	3.2	5.04	?	"7km ENE of Luther	 Oklahoma"
us	b000d7a8	?	"Wednesday, October 17, 2012 04:42:31 UTC"	4.1906	124.5733	6	337.43	?	"166km SW of Sarangani	 Philippines"
nc	71860980	?	"Wednesday, October 17, 2012 03:50:16 UTC"	40.8978	-124.5518	2.5	16.7	?	"33km WNW of Bayview	 California"
us	b000d793	?	"Wednesday, October 17, 2012 03:30:47 UTC"	18.7071	-70.8726	4.7	12.67	?	"6km SW of El Guayabal	 Dominican Republic"
us	b000d78i	?	"Wednesday, October 17, 2012 02:57:31 UTC"	32.4828	-96.9598	2.7	12.06	?	"3km E of Midlothian	 Texas"
us	b000d78l	?	"Wednesday, October 17, 2012 02:55:21 UTC"	12.4279	-88.8534	4.5	35.24	?	"100km SSW of Puerto El Triunfo	 El Salvador"
pr	12291002	?	"Wednesday, October 17, 2012 02:50:26 UTC"	18.0807	-68.1345	3.4	90	?	"60km ESE of Boca de Yuma	 Dominican Republic"
pr	12291001	?	"Wednesday, October 17, 2012 02:12:43 UTC"	19.0958	-66.7733	3.1	23	?	"67km N of Hatillo	 Puerto Rico"
us	b000d778	?	"Wednesday, October 17, 2012 01:26:40 UTC"	14.1555	-91.1873	4.4	61.96	?	"13km ESE of Nueva Concepcion	 Guatemala"
us	b000d76u	?	"Wednesday, October 17, 2012 00:44:05 UTC"	36.7051	140.2914	4.5	54.17	?	"8km SW of Daigo	 Japan"
ak	10580868	?	"Wednesday, October 17, 2012 00:36:57 UTC"	65.0402	-152.1908	3.2	17.1	?	"15km SSW of Tanana	 Alaska"
us	b000d766	?	"Tuesday, October 16, 2012 23:42:54 UTC"	-38.538	176.1173	5.7	103.88	?	"16km N of Taupo	 New Zealand"
us	b000d75b	?	"Tuesday, October 16, 2012 23:12:22 UTC"	43.5916	-70.6758	4	6.58	?	"6km NNE of Waterboro	 Maine"
pr	12290003	?	"Tuesday, October 16, 2012 21:31:00 UTC"	19.0639	-66.3974	2.9	55	?	"66km N of Brenas	 Puerto Rico"
pr	12290004	?	"Tuesday, October 16, 2012 21:23:20 UTC"	18.1492	-68.4906	2.6	66	?	"28km SSE of Boca de Yuma	 Dominican Republic"
us	b000d6yu	?	"Tuesday, October 16, 2012 19:19:34 UTC"	36.7599	71.2995	4.4	172.7	?	"22km WNW of Ashkasham	 Afghanistan"
us	b000d6yd	?	"Tuesday, October 16, 2012 19:03:22 UTC"	16.1576	-61.9663	4.2	174.39	?	"20km WSW of Pointe-Noire	 Guadeloupe"
us	b000d6vz	?	"Tuesday, October 16, 2012 17:51:59 UTC"	-5.5003	147.1375	4.8	225.64	?	"136km N of Lae	 Papua New Guinea"
pr	12290001	?	"Tuesday, October 16, 2012 15:59:09 UTC"	18.0426	-65.4889	2.6	17	?	"6km SSW of Esperanza	 Puerto Rico"
nn	00391358	?	"Tuesday, October 16, 2012 15:37:14 UTC"	39.353	-118.0999	2.81	12.6112	?	"55km NNW of Gabbs	 Nevada"
us	2012guax	?	"Tuesday, October 16, 2012 15:10:59 UTC"	39.7491	15.5496	4.9	260.3	?	"22km WSW of Scalea	 Italy"
pr	12290002	?	"Tuesday, October 16, 2012 15:03:24 UTC"	19.1802	-64.8415	2.9	67	?	"87km NNW of Road Town	 British Virgin Islands"
ak	10580452	?	"Tuesday, October 16, 2012 14:36:33 UTC"	61.7354	-150.7802	2.5	59.3	?	"39km W of Willow	 Alaska"
us	2012guar	?	"Tuesday, October 16, 2012 13:50:00 UTC"	16.2163	-94.0231	4.5	96.4	?	"13km W of Arriaga	 Mexico"
us	b000d6rb	?	"Tuesday, October 16, 2012 13:39:25 UTC"	31.2209	130.1921	5.3	168.3	?	"12km WSW of Makurazaki	 Japan"
us	2012guap	?	"Tuesday, October 16, 2012 13:07:13 UTC"	48.2279	154.5378	4.7	58.6	?	"295km SSW of Severo-Kuril'sk	 Russia"
us	b000d6qb	?	"Tuesday, October 16, 2012 12:41:24 UTC"	49.5692	156.5256	5.6	64.72	?	"126km SSE of Severo-Kuril'sk	 Russia"
pr	12290000	?	"Tuesday, October 16, 2012 12:36:18 UTC"	18.0111	-67.6235	2.7	35	?	"46km W of Puerto Real	 Puerto Rico"
us	b000d6q5	?	"Tuesday, October 16, 2012 12:31:06 UTC"	32.9463	141.3541	4.9	43.65	?	"146km E of Hachijo-jima	 Japan"
ak	10580394	?	"Tuesday, October 16, 2012 11:38:19 UTC"	51.8677	-175.1408	2.7	66.2	?	"74km WSW of Atka	 Alaska"
hv	60413236	?	"Tuesday, October 16, 2012 11:17:55 UTC"	19.3808	-155.244	2.7	3.7	?	"5km S of Volcano	 Hawaii"
us	b000d6nx	?	"Tuesday, October 16, 2012 10:25:19 UTC"	37.4594	35.689	4.6	26.62	?	"11km W of Kozan	 Turkey"
ak	10580349	?	"Tuesday, October 16, 2012 07:28:24 UTC"	63.3772	-152.2663	2.6	8	?	"160km NW of Talkeetna	 Alaska"
uw	60464892	?	"Tuesday, October 16, 2012 06:22:45 UTC"	42.252	-124.7927	2.9	24.6	?	"35km WSW of Gold Beach	 Oregon"
ak	10580335	?	"Tuesday, October 16, 2012 05:32:31 UTC"	60.7372	-150.1137	2.7	93.7	?	"42km ENE of Sterling	 Alaska"
nc	71860650	?	"Tuesday, October 16, 2012 04:30:44 UTC"	34.8223	-121.0502	2.5	2.8	?	"46km WSW of Guadalupe	 California"
us	b000d6lv	?	"Tuesday, October 16, 2012 04:15:33 UTC"	38.2683	46.9603	4.5	32.43	?	"25km SSW of Ahar	 Iran"
us	b000d6l1	?	"Tuesday, October 16, 2012 02:03:29 UTC"	31.2894	140.2882	5.4	102.6	?	"204km SSE of Hachijo-jima	 Japan"
us	b000d6ks	?	"Tuesday, October 16, 2012 01:16:04 UTC"	37.2728	37.0825	4.4	5.11	?	"24km ESE of Turkoglu	 Turkey"
us	b000d6k1	?	"Tuesday, October 16, 2012 00:16:42 UTC"	-36.8276	78.7286	5	9.81	?	"154km NE of Amsterdam Island	 "
ak	10580185	?	"Tuesday, October 16, 2012 00:02:11 UTC"	62.2234	-145.6887	3.4	16	?	"14km NNW of Glennallen	 Alaska"
us	b000d6jr	?	"Monday, October 15, 2012 23:43:46 UTC"	35.949	69.683	5	112.4	?	"51km ESE of Nahrin	 Afghanistan"
us	b000d6ij	?	"Monday, October 15, 2012 22:45:04 UTC"	51.811	159.495	5	51.9	?	"145km SSE of Vilyuchinsk	 Russia"
us	b000d6er	?	"Monday, October 15, 2012 21:47:51 UTC"	36.691	141.709	4.8	38.3	?	"83km ESE of Iwaki	 Japan"
us	b000d6cs	?	"Monday, October 15, 2012 21:04:20 UTC"	-31.814	-71.787	5	24	?	"62km WSW of Illapel	 Chile"
us	b000d6af	?	"Monday, October 15, 2012 20:19:01 UTC"	-20.331	-178.26	5.2	544.5	?	"57km NE of Ndoi Island	 Fiji"
us	b000d65a	?	"Monday, October 15, 2012 17:52:21 UTC"	14.15	-91	5.5	76.5	?	"9km NE of La Gomera	 Guatemala"
hv	60412951	?	"Monday, October 15, 2012 17:23:57 UTC"	19.3692	-155.231	2.5	3.2	?	"6km S of Volcano	 Hawaii"
ci	15230641	?	"Monday, October 15, 2012 17:19:18 UTC"	35.792	-118.5072	2.5	3.4	?	"7km NNE of Alta Sierra	 California"
us	2012gtcz	?	"Monday, October 15, 2012 16:48:11 UTC"	37.663	142.667	4.6	23.6	?	"146km SE of Ishinomaki	 Japan"
us	2012gta2	?	"Monday, October 15, 2012 16:35:37 UTC"	-3.234	137	4.6	76.3	?	"104km NE of Enarotali	 Indonesia"
us	2012gtay	?	"Monday, October 15, 2012 16:05:11 UTC"	-10.84	113.728	4.3	22.4	?	"252km S of Sidorukun	 Indonesia"
us	2012gtcy	?	"Monday, October 15, 2012 15:55:02 UTC"	6.037	125.496	4.3	83.4	?	"12km ESE of Suyan	 Philippines"
us	2012gtcx	?	"Monday, October 15, 2012 15:19:20 UTC"	1.542	-91.066	4.6	10	?	"264km NNW of Puerto Ayora	 Ecuador"
us	2012gtcv	?	"Monday, October 15, 2012 14:43:20 UTC"	39.854	143.743	4	35.9	?	"155km E of Miyako	 Japan"
pr	12289003	?	"Monday, October 15, 2012 14:00:37 UTC"	19.704	-64.0865	3.1	7	?	"153km NNE of Road Town	 British Virgin Islands"
ak	10579768	?	"Monday, October 15, 2012 13:43:20 UTC"	59.2944	-149.7856	3.1	25.4	?	"92km SSW of Seward	 Alaska"
pr	12289001	?	"Monday, October 15, 2012 13:33:34 UTC"	19.7667	-64.2687	3.6	35	?	"153km NNE of Road Town	 British Virgin Islands"
us	2012gtcu	?	"Monday, October 15, 2012 13:07:52 UTC"	-5.306	131.383	4.2	58.9	?	"156km WNW of Tual	 Indonesia"
nc	71860195	?	"Monday, October 15, 2012 12:44:37 UTC"	38.8157	-122.799	2.9	2.7	?	"6km W of Cobb	 California"
pr	12289000	?	"Monday, October 15, 2012 09:55:51 UTC"	18.7488	-64.8115	3.1	51	?	"42km NNW of Road Town	 British Virgin Islands"
us	b000d5xt	?	"Monday, October 15, 2012 07:49:03 UTC"	-13.157	165.525	5.3	45.2	?	"233km WNW of Sola	 Vanuatu"
nc	71860050	?	"Monday, October 15, 2012 05:23:03 UTC"	36.8525	-121.3137	2.5	7.3	?	"6km NE of Ridgemark	 California"
nc	71860015	?	"Monday, October 15, 2012 04:11:34 UTC"	40.393	-126.8358	3.2	0	?	"218km W of Ferndale	 California"
uu	60001557	?	"Monday, October 15, 2012 04:02:15 UTC"	44.3918	-111.0478	3	8.9	?	"19km WSW of Old Faithful Geyser	 Wyoming"
uu	60001522	?	"Monday, October 15, 2012 03:45:20 UTC"	44.396	-111.043	2.7	10.2	?	"18km WSW of Old Faithful Geyser	 Wyoming"
uu	60001467	?	"Monday, October 15, 2012 03:22:33 UTC"	44.396	-111.072	2.5	15.6	?	"20km WSW of Old Faithful Geyser	 Wyoming"
uu	60001462	?	"Monday, October 15, 2012 03:20:45 UTC"	44.3905	-111.0393	3.1	11.7	?	"13km WSW of Old Faithful Geyser	 Wyoming"
uu	60001457	?	"Monday, October 15, 2012 03:19:51 UTC"	44.3905	-111.02	2.6	-1.2	?	"17km WSW of Old Faithful Geyser	 Wyoming"
uu	60001417	?	"Monday, October 15, 2012 03:05:44 UTC"	44.4037	-111.0502	2.5	16.9	?	"18km WSW of Old Faithful Geyser	 Wyoming"
uu	60001382	?	"Monday, October 15, 2012 02:54:52 UTC"	44.3938	-111.0435	3.1	12.4	?	"18km WSW of Old Faithful Geyser	 Wyoming"
uu	60001377	?	"Monday, October 15, 2012 02:52:58 UTC"	44.3772	-111.0085	2.6	11.7	?	"17km WSW of Old Faithful Geyser	 Wyoming"
us	b000d5uj	?	"Monday, October 15, 2012 02:46:40 UTC"	19.306	-69.132	4.5	74.9	?	"24km ENE of Santa Barbara de Samana	 Dominican Republic"
us	b000d5u4	?	"Monday, October 15, 2012 01:19:06 UTC"	51.889	159.366	5.6	45.5	?	"133km SSE of Vilyuchinsk	 Russia"
us	b000d5tj	?	"Monday, October 15, 2012 00:05:38 UTC"	-38.392	175.9	4.9	166.1	?	"17km S of Tokoroa	 New Zealand"
ak	10579607	?	"Sunday, October 14, 2012 23:11:31 UTC"	52.8966	-167.4989	2.9	29.6	?	"92km E of Nikolski	 Alaska"
us	b000d5tb	?	"Sunday, October 14, 2012 23:07:59 UTC"	25.211	101.967	4.7	10	?	"16km NW of Jinshan	 China"
us	b000d5t4	?	"Sunday, October 14, 2012 22:40:56 UTC"	12.747	-88.783	4.6	66.5	?	"64km SSW of Puerto El Triunfo	 El Salvador"
pr	12288004	?	"Sunday, October 14, 2012 21:24:22 UTC"	18.9032	-64.9842	2.8	9	?	"62km N of Charlotte Amalie	 U.S. Virgin Islands"
us	b000d5rv	?	"Sunday, October 14, 2012 19:36:52 UTC"	55.648	161.75	4.8	83	?	"78km SW of Ust'-Kamchatsk Staryy	 Russia"
pr	12288003	?	"Sunday, October 14, 2012 19:34:54 UTC"	17.9655	-67.4479	2.6	11	?	"27km W of Pole Ojea	 Puerto Rico"
ak	10579507	?	"Sunday, October 14, 2012 18:03:10 UTC"	62.9931	-150.7709	3	110.7	?	"81km NNW of Talkeetna	 Alaska"
ci	15230145	?	"Sunday, October 14, 2012 17:43:13 UTC"	32.4115	-115.224	3	8.9	?	"6km NNW of Delta	 Mexico"
nc	71859625	?	"Sunday, October 14, 2012 16:53:07 UTC"	40.645	-125.2722	4	23.4	?	"89km W of Ferndale	 California"
us	2012gsa9	?	"Sunday, October 14, 2012 16:30:09 UTC"	40.783	74.064	4.3	11.3	?	"43km ENE of Kara-Kulja	 Kyrgyzstan"
nc	71859610	?	"Sunday, October 14, 2012 16:29:20 UTC"	36.8535	-121.315	2.5	7.4	?	"6km NE of Ridgemark	 California"
us	2012gsa8	?	"Sunday, October 14, 2012 16:25:53 UTC"	-1.061	26.824	4.6	10	?	"230km NNE of Kindu	 Democratic Republic of the Congo"
us	b000d5q4	?	"Sunday, October 14, 2012 14:16:53 UTC"	48.38	154.453	5	61.6	?	"282km SSW of Severo-Kuril'sk	 Russia"
us	2012gsdh	?	"Sunday, October 14, 2012 13:39:44 UTC"	-20.624	-174.704	4.6	10	?	"76km NE of Nuku`alofa	 Tonga"
us	b000d5pv	?	"Sunday, October 14, 2012 13:18:53 UTC"	-10.271	161.415	5.1	62	?	"58km WNW of Kirakira	 Solomon Islands"
us	b000d5pu	?	"Sunday, October 14, 2012 13:17:28 UTC"	36.167	69.216	5.1	50.2	?	"13km NNE of Nahrin	 Afghanistan"
pr	12288001	?	"Sunday, October 14, 2012 13:11:36 UTC"	19.3255	-65.6511	3.4	77	?	"101km N of Vieques	 Puerto Rico"
us	2012gsdm	?	"Sunday, October 14, 2012 12:20:14 UTC"	-23.862	-114.717	4.5	10	?	"Easter Island region"
us	2012gsdl	?	"Sunday, October 14, 2012 12:16:54 UTC"	48.336	154.544	4.3	54	?	"284km SSW of Severo-Kuril'sk	 Russia"
us	b000d5pe	?	"Sunday, October 14, 2012 12:14:42 UTC"	42.734	142.451	4.4	50.4	?	"44km N of Shizunai	 Japan"
ak	10579430	?	"Sunday, October 14, 2012 11:59:41 UTC"	63.4635	-144.9337	3.3	1.4	?	"47km SSE of Deltana	 Alaska"
us	b000d5p1	?	"Sunday, October 14, 2012 11:11:36 UTC"	38.215	144.333	5.4	33.9	?	"242km ESE of Kamaishi	 Japan"
us	b000d5p0	?	"Sunday, October 14, 2012 11:09:34 UTC"	48.345	154.429	5.1	35	?	"287km SSW of Severo-Kuril'sk	 Russia"
us	b000d5p5	?	"Sunday, October 14, 2012 10:50:17 UTC"	-35.305	-73.924	4.8	21.5	?	"137km W of Constitucion	 Chile"
us	b000d5nl	?	"Sunday, October 14, 2012 10:41:26 UTC"	14.768	-92.233	5.5	101.7	?	"7km WSW of Frontera Hidalgo	 Mexico"
us	2012gsdk	?	"Sunday, October 14, 2012 10:35:50 UTC"	21.636	143.157	4.2	313.6	?	"217km NW of Farallon de Pajaros	 Northern Mariana Islands"
us	b000d5nf	?	"Sunday, October 14, 2012 10:13:38 UTC"	41.832	46.406	5.5	10	?	"10km E of Lagodekhi	 Georgia"
us	b000d5ne	?	"Sunday, October 14, 2012 10:08:23 UTC"	41.741	46.306	4.4	10	?	"4km NE of Qabaqcol	 Azerbaijan"
us	2012gsdj	?	"Sunday, October 14, 2012 09:58:30 UTC"	-18.321	-175.267	4.5	166.4	?	"140km WNW of Neiafu	 Tonga"
ak	10579360	?	"Sunday, October 14, 2012 09:58:27 UTC"	60.1082	-152.5562	4.3	88.5	?	"43km SSE of Redoubt Volcano	 Alaska"
us	b000d5n7	?	"Sunday, October 14, 2012 09:41:58 UTC"	48.298	154.446	5.7	35	?	"291km SSW of Severo-Kuril'sk	 Russia"
us	b000d5n3	?	"Sunday, October 14, 2012 09:25:10 UTC"	36.107	70.35	4.1	115.2	?	"39km WNW of `Alaqahdari-ye Kiran wa Munjan	 Afghanistan"
ak	10579336	?	"Sunday, October 14, 2012 09:16:24 UTC"	61.1726	-152.005	2.7	100.4	?	"66km NW of Nikiski	 Alaska"
nc	71859415	?	"Sunday, October 14, 2012 07:45:29 UTC"	40.3907	-125.6135	3.3	25.4	?	"116km W of Ferndale	 California"
us	b000d5mx	?	"Sunday, October 14, 2012 07:28:37 UTC"	33.489	-109.242	2.5	10	?	"46km NNE of Morenci	 Arizona"
ak	10579303	?	"Sunday, October 14, 2012 06:26:24 UTC"	51.5369	-178.1169	2.6	12.3	?	"38km S of Tanaga Volcano	 Alaska"
us	b000d5m3	?	"Sunday, October 14, 2012 06:16:46 UTC"	-2.538	142.329	4.9	15.8	?	"66km N of Aitape	 Papua New Guinea"
us	2012gsah	?	"Sunday, October 14, 2012 05:14:11 UTC"	38.099	-116.689	2.5	5.8	?	"29km WSW of Warm Springs	 Nevada"
ak	10579283	?	"Sunday, October 14, 2012 05:02:01 UTC"	51.5099	-178.14	2.7	16.5	?	"41km S of Tanaga Volcano	 Alaska"
us	b000d5kf	?	"Sunday, October 14, 2012 04:58:04 UTC"	-7.141	156.046	5.8	37	?	"79km SW of Chirovanga	 Soloman Islands"
us	b000d5k8	?	"Sunday, October 14, 2012 03:42:26 UTC"	4.527	125.116	4.8	49.6	?	"104km SSW of Sarangani	 Philippines"
us	b000d5kc	?	"Sunday, October 14, 2012 03:37:30 UTC"	-34.606	-72.209	4.5	15	?	"77km W of Santa Cruz	 Chile"
hv	60412506	?	"Sunday, October 14, 2012 02:27:12 UTC"	19.3445	-155.497	2.6	8.7	?	"15km N of Pahala	 Hawaii"
ci	15229745	?	"Sunday, October 14, 2012 01:15:23 UTC"	36.1138	-117.592	2.5	1.2	?	"42km NNW of Searles Valley	 California"
us	b000d5jf	?	"Sunday, October 14, 2012 01:02:38 UTC"	-2.799	100.091	4.9	20.4	?	"164km WSW of Sungaipenuh	 Indonesia"
us	2012grby	?	"Saturday, October 13, 2012 23:38:59 UTC"	-4.644	153.137	4.2	36.7	?	"22km SSE of Taron	 PNG"
us	b000d5iv	?	"Saturday, October 13, 2012 23:07:55 UTC"	-2.537	142.326	5.3	28.5	?	"66km N of Aitape	 Papua New Guinea"
us	2012grbw	?	"Saturday, October 13, 2012 22:54:55 UTC"	-32.711	-176.018	4.2	16.8	?	"South of the Kermadec Islands"
us	b000d5in	?	"Saturday, October 13, 2012 22:36:30 UTC"	-16.886	-174.479	5.1	50.2	?	"129km SW of Hihifo	 Tonga"
pr	12287004	?	"Saturday, October 13, 2012 21:34:35 UTC"	19.7222	-64.296	3	24	?	"148km NNE of Road Town	 British Virgin Islands"
ci	15229641	?	"Saturday, October 13, 2012 21:13:58 UTC"	32.9227	-117.8925	2.7	9.3	?	"56km WSW of Oceanside	 California"
uw	60463912	?	"Saturday, October 13, 2012 20:51:44 UTC"	47.7232	-122.6198	2.7	21.2	?	"2km SE of Poulsbo	 Washington"
us	b000d5gq	?	"Saturday, October 13, 2012 20:41:30 UTC"	25.361	-113.249	4.4	44	?	"148km W of Villa Insurgentes	 Mexico"
us	b000d5gr	?	"Saturday, October 13, 2012 20:38:54 UTC"	16.584	-98.076	4.4	1	?	"7km SSE of San Pedro Amuzgos	 Mexico"
pr	12287003	?	"Saturday, October 13, 2012 20:22:31 UTC"	19.721	-64.1707	3.4	36	?	"151km NNE of Road Town	 British Virgin Islands"
ak	10579064	?	"Saturday, October 13, 2012 20:12:51 UTC"	62.0237	-147.7437	2.7	28.6	?	"61km ENE of Sutton-Alpine	 Alaska"
ak	10579054	?	"Saturday, October 13, 2012 20:03:52 UTC"	62.016	-150.2676	3.2	61.5	?	"26km SW of Y	 Alaska"
us	b000d5eu	?	"Saturday, October 13, 2012 18:44:12 UTC"	41.761	46.347	4.6	20.9	?	"6km NW of Belokany	 Azerbaijan"
us	b000d5e7	?	"Saturday, October 13, 2012 17:59:07 UTC"	36.687	71.116	4.5	203.4	?	"31km SE of Jarm	 Afghanistan"
us	b000d5e4	?	"Saturday, October 13, 2012 17:52:46 UTC"	-19.908	-173.936	5.1	1	?	"44km ESE of Pangai	 Tonga"
ak	10578975	?	"Saturday, October 13, 2012 16:05:58 UTC"	51.5185	-178.0861	2.5	12.1	?	"40km S of Tanaga Volcano	 Alaska"
nc	71858955	?	"Saturday, October 13, 2012 15:31:43 UTC"	40.3078	-124.5495	2.6	10.9	?	"38km SW of Ferndale	 California"
ak	10582174	?	"Saturday, October 13, 2012 12:58:21 UTC"	50.0259	178.8493	2.9	31.3	?	"199km SW of Amatignak Island	 Alaska"
ak	10578903	?	"Saturday, October 13, 2012 11:35:37 UTC"	51.6112	-178.122	2.9	5.1	?	"30km S of Tanaga Volcano	 Alaska"
hv	60412241	?	"Saturday, October 13, 2012 11:04:52 UTC"	19.498	-155.8	2.6	11.7	?	"8km NE of Honaunau-Napoopoo	 Hawaii"
us	b000d5bu	?	"Saturday, October 13, 2012 10:03:59 UTC"	-11.101	162.835	5.1	51.1	?	"122km SE of Kirakira	 Solomon Islands"
pr	12287001	?	"Saturday, October 13, 2012 09:53:24 UTC"	19.6492	-64.1993	2.9	29	?	"143km NNE of Road Town	 British Virgin Islands"
ak	10578882	?	"Saturday, October 13, 2012 09:45:57 UTC"	52.4195	-169.1313	3.3	27.9	?	"60km SSW of Nikolski	 Alaska"
ak	10582156	?	"Saturday, October 13, 2012 08:45:52 UTC"	51.7909	-176.7306	2.6	63	?	"11km SSW of Adak	 Alaska"
pr	12287000	?	"Saturday, October 13, 2012 08:25:50 UTC"	18.8005	-65.5726	3	43	?	"49km NNE of Luquillo	 Puerto Rico"
us	b000d5b6	?	"Saturday, October 13, 2012 08:25:45 UTC"	-22.237	170.481	4.9	35	?	"162km W of Ile Hunter	 New Caledonia"
us	b000d5az	?	"Saturday, October 13, 2012 07:08:39 UTC"	37.561	95.728	4.8	10	?	"36km NNE of Xitieshan	 China"
us	2012grca	?	"Saturday, October 13, 2012 07:00:36 UTC"	23.861	121.071	4.3	28.7	?	"15km SE of Buli	 Taiwan"
hv	60412191	?	"Saturday, October 13, 2012 06:17:11 UTC"	19.3832	-155.2458	2.6	3.6	?	"5km S of Volcano	 Hawaii"
ak	10578836	?	"Saturday, October 13, 2012 05:39:08 UTC"	60.0494	-141.0924	3.2	2.4	?	"74km E of Cape Yakataga	 Alaska"
ak	10582145	?	"Saturday, October 13, 2012 05:14:57 UTC"	52.8674	-163.0474	2.7	20	?	"222km S of False Pass	 Alaska"
us	2012grba	?	"Saturday, October 13, 2012 04:20:54 UTC"	21.009	145.148	4.1	10	?	"58km NNE of Farallon de Pajaros	 Northern Mariana Islands"
se	101312a	?	"Saturday, October 13, 2012 04:03:08 UTC"	34.9705	-84.353	2.5	8	?	"2km SE of McCaysville	 Georgia"
us	2012gra8	?	"Saturday, October 13, 2012 03:35:21 UTC"	1.767	127.26	4.4	35	?	"83km W of Tobelo	 Indonesia"
ak	10582140	?	"Saturday, October 13, 2012 03:20:32 UTC"	52.0444	-169.3205	2.7	37.9	?	"104km SSW of Nikolski	 Alaska"
ak	10578806	?	"Saturday, October 13, 2012 03:13:29 UTC"	61.7147	-146.5008	2.6	19.9	?	"65km N of Valdez	 Alaska"
hv	60412106	?	"Saturday, October 13, 2012 02:40:44 UTC"	18.8435	-155.1622	2.6	9.2	?	"52km SE of Pahala	 Hawaii"
us	b000d58x	?	"Saturday, October 13, 2012 01:24:55 UTC"	16.878	-100.187	4.4	35	?	"21km SW of Coyuca de Benitez	 Mexico"
us	2012gra3	?	"Saturday, October 13, 2012 00:38:44 UTC"	1.837	97.035	4.1	35	?	"101km SE of Sinabang	 Indonesia"
ak	10578374	?	"Saturday, October 13, 2012 00:12:19 UTC"	51.5213	-178.0564	3	13.1	?	"40km S of Tanaga Volcano	 Alaska"
ak	10578367	?	"Friday, October 12, 2012 23:58:38 UTC"	51.5615	-178.0979	2.7	22.8	?	"35km S of Tanaga Volcano	 Alaska"
us	2012gqb1	?	"Friday, October 12, 2012 23:16:14 UTC"	24.548	94.017	4	35	?	"5km SSW of Wangjing	 India"
ak	10578336	?	"Friday, October 12, 2012 21:57:12 UTC"	51.5234	-178.096	2.9	13.1	?	"40km S of Tanaga Volcano	 Alaska"
us	b000d56a	?	"Friday, October 12, 2012 21:26:33 UTC"	-23.627	-67.805	4.6	107.9	?	"89km SSE of San Pedro de Atacama	 Chile"
us	b000d565	?	"Friday, October 12, 2012 21:10:58 UTC"	27.685	139.757	4.5	491.6	?	"252km WNW of Chichi-shima	 Japan"
ak	10578317	?	"Friday, October 12, 2012 21:10:52 UTC"	54.2999	-162.5252	2.6	18.2	?	"84km SE of False Pass	 Alaska"
ak	10581516	?	"Friday, October 12, 2012 19:52:53 UTC"	53.061	-169.7484	3.2	152.9	?	"60km WNW of Nikolski	 Alaska"
us	b000d53n	?	"Friday, October 12, 2012 19:24:16 UTC"	9.625	-84.247	5	59.9	?	"13km S of Tejar	 Costa Rica"
us	b000d53a	?	"Friday, October 12, 2012 19:01:02 UTC"	3.013	126.799	4.7	59.7	?	"195km NW of Tobelo	 Indonesia"
us	b000d52y	?	"Friday, October 12, 2012 18:53:03 UTC"	14.425	120.622	4.7	145.4	?	"4km SE of Cabcaben	 Philippines"
ak	10578100	?	"Friday, October 12, 2012 17:53:05 UTC"	54.3713	-161.7789	2.7	21.3	?	"109km SE of Cold Bay	 Alaska"
ak	10578055	?	"Friday, October 12, 2012 15:55:49 UTC"	51.5815	-178.0664	2.7	13.2	?	"34km S of Tanaga Volcano	 Alaska"
ak	10578023	?	"Friday, October 12, 2012 13:44:24 UTC"	61.3228	-147.0901	3.5	6.4	?	"45km WNW of Valdez	 Alaska"
us	b000d4y9	?	"Friday, October 12, 2012 12:16:19 UTC"	10.5109	-62.8137	4.9	12.34	?	"6km SSE of Yaguaraparo	 Venezuela"
ak	10577996	?	"Friday, October 12, 2012 11:23:01 UTC"	51.5235	-178.0785	3.2	12.9	?	"40km S of Tanaga Volcano	 Alaska"
ak	10581481	?	"Friday, October 12, 2012 10:13:33 UTC"	57.2515	-150.1285	2.7	20	?	"149km ESE of Kodiak	 Alaska"
ak	10577983	?	"Friday, October 12, 2012 10:08:38 UTC"	57.2645	-150.138	2.8	33.1	?	"148km ESE of Kodiak	 Alaska"
